features,model_path,Total Costs_r2,Total Costs_mse,Length of Stay_r2,Length of Stay_mse,APR Risk of Mortality_r2,APR Risk of Mortality_mse,Total Costs_train_r2,Total Costs_train_mse,Length of Stay_train_r2,Length of Stay_train_mse,APR Risk of Mortality_train_r2,APR Risk of Mortality_train_mse
"['CCSR Procedure Code', 'Type of Admission']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission.pkl,0.5839970623319823,135312566.75994,0.6193714829480876,3.462995200954137,0.19716650247573853,0.5215150713920593,0.695005033166074,94118030.09031057,0.6316724871368378,3.2912396407596227,0.20351427793502808,0.5184157490730286
"['CCSR Procedure Code', 'Type of Admission', 'Age Group']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group.pkl,0.5838000844664646,135376637.414651,0.6245775078365087,3.4156302810992454,0.2237788438796997,0.504227876663208,0.6990324973876195,92875199.74879391,0.6380294326182809,3.2344363061402883,0.23053604364395142,0.5008278489112854
"['CCSR Procedure Code', 'Type of Admission', 'Gender']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Gender.pkl,0.5839984118476961,135312127.805263,0.618795778772546,3.4682330134346926,0.19775694608688354,0.5211315155029297,0.6969739735373741,93510437.14857867,0.6313854291099843,3.293804686063554,0.20425736904144287,0.5179320573806763
"['CCSR Procedure Code', 'Type of Admission', 'Race']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Race.pkl,0.5862682278405562,134573828.62452078,0.6184357284654237,3.4715087860838985,0.1993505358695984,0.5200963616371155,0.6971475826591191,93456863.31844641,0.6304920077319434,3.301787972005062,0.20631754398345947,0.5165911316871643
"['CCSR Procedure Code', 'Type of Admission', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Ethnicity.pkl,0.5849781571974602,134993447.70461074,0.6188783909417515,3.4674813998989684,0.1982690691947937,0.5207988619804382,0.697310626902774,93406549.69134086,0.6319007987007281,3.289199532314619,0.20550888776779175,0.5171175003051758
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender.pkl,0.5845118003030014,135145138.8171042,0.624594866629431,3.4154723491159826,0.22375106811523438,0.504245936870575,0.7023151312356268,91862215.71666579,0.6387377917591527,3.2281066685136866,0.23100590705871582,0.5005220174789429
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race.pkl,0.5844862195323874,135153459.4307779,0.625350628023045,3.4085963585847887,0.22351998090744019,0.5043960213661194,0.7035928180027157,91467935.89349629,0.639331913049925,3.2227978184405304,0.23118478059768677,0.5004056096076965
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Ethnicity.pkl,0.5830787312975407,135611270.7308835,0.6241156458595831,3.419832346204573,0.22355222702026367,0.5043751001358032,0.7023190149010601,91861017.26101944,0.6389614602214551,3.226108049122496,0.23115026950836182,0.5004280209541321
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Gender__Race.pkl,0.587117684448951,134297527.320791,0.6201112839880014,3.456264419270396,0.1996704339981079,0.5198885202407837,0.7002627637283859,92495553.33796513,0.6333421829968016,3.2763198505989393,0.20695090293884277,0.5161789059638977
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Gender__Ethnicity.pkl,0.5853986099326409,134856687.75979525,0.6187660848973559,3.4685031711939627,0.19861692190170288,0.5205729007720947,0.698491043785731,93042286.26475863,0.6325279460589313,3.283595573408941,0.20619213581085205,0.5166727900505066
"['CCSR Procedure Code', 'Type of Admission', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Race__Ethnicity.pkl,0.5876357846490033,134129005.75144605,0.620066846113003,3.4566687193713235,0.1996421217918396,0.5199069380760193,0.7001892788081272,92518229.96114974,0.633079150810864,3.2786702097953615,0.20744097232818604,0.5158599615097046
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race.pkl,0.5881699135820218,133955270.54343858,0.6268612572652521,3.3948525070817466,0.22416234016418457,0.5039787888526917,0.7060873895735773,90698139.05190895,0.6419224566146386,3.1996496707362665,0.23199981451034546,0.49987509846687317
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Ethnicity.pkl,0.5862871395571964,134567677.24267054,0.623995287188281,3.4209273810809417,0.22371506690979004,0.5042693018913269,0.7042529073177,91264239.72547457,0.6392860212834586,3.223207890443582,0.23139536380767822,0.5002685189247131
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race__Ethnicity.pkl,0.5852281070943242,134912146.92751616,0.6258420707289251,3.4041251651356266,0.22403401136398315,0.5040621161460876,0.7054570973193701,90892640.18077336,0.6409681151529691,3.2081773162142038,0.23195135593414307,0.49990665912628174
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Gender__Race__Ethnicity.pkl,0.5889929487707162,133687563.28987862,0.6186950336809827,3.4691496020584403,0.19991904497146606,0.5197270512580872,0.7029115940244057,91678153.98186141,0.6329785714057091,3.2795689504914245,0.20809316635131836,0.5154354572296143
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_5/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race__Ethnicity.pkl,0.588228164042806,133936323.515305,0.6249098490536904,3.412606608440419,0.22405457496643066,0.504048764705658,0.7078247911017891,90161996.40336412,0.6405901199345198,3.211554942928286,0.23248445987701416,0.4995596706867218
