features,model_path,Total Costs_r2,Total Costs_mse,Length of Stay_r2,Length of Stay_mse,APR Risk of Mortality_r2,APR Risk of Mortality_mse,Total Costs_train_r2,Total Costs_train_mse,Length of Stay_train_r2,Length of Stay_train_mse,APR Risk of Mortality_train_r2,APR Risk of Mortality_train_mse
"['CCSR Procedure Code', 'Type of Admission']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission.pkl,0.6359119815263723,118426289.4449136,0.6920103008963432,2.8021201832174008,0.20850533246994019,0.5141494274139404,0.7493487209219479,77348176.82840145,0.7084585962311288,2.605107116620128,0.21762877702713013,0.5092288851737976
"['CCSR Procedure Code', 'Type of Admission', 'Age Group']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group.pkl,0.6319600237781037,119711736.00844675,0.6964027893234481,2.7621568970686745,0.23514366149902344,0.49684539437294006,0.7564775212922288,75148308.8937832,0.7168124093296568,2.530460504946601,0.2478695511817932,0.4895458519458771
"['CCSR Procedure Code', 'Type of Admission', 'Gender']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Gender.pkl,0.6335605705498271,119191128.88697961,0.6913602757422109,2.8080341751765276,0.20862770080566406,0.5140699744224548,0.7524040874626743,76405324.94136162,0.7096033418112342,2.5948780897344106,0.21913546323776245,0.5082482695579529
"['CCSR Procedure Code', 'Type of Admission', 'Race']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Race.pkl,0.6352274977341811,118648930.32179336,0.6927646790187136,2.795256777822272,0.21015244722366333,0.5130795240402222,0.7538343051621238,75963975.78117768,0.7104455881231299,2.587352085425238,0.2222229242324829,0.5062386989593506
"['CCSR Procedure Code', 'Type of Admission', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Ethnicity.pkl,0.6359468803173833,118414937.97462112,0.6929715806303611,2.7933743668727344,0.20856809616088867,0.5141086578369141,0.7542549210192677,75834178.43956877,0.7113384785477109,2.5793735438892234,0.2211894989013672,0.5069113373756409
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender.pkl,0.6286392424723448,120791880.88590732,0.696105815798223,2.7648587910324545,0.234666645526886,0.49715521931648254,0.7618538148272421,73489244.93625154,0.7190106098923172,2.5108181904913796,0.2513446807861328,0.48728397488594055
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race.pkl,0.6274476044737505,121179482.94742729,0.6959066454551952,2.7666708621495104,0.23386728763580322,0.49767449498176575,0.7669201588395136,71925827.92926048,0.7215836447287391,2.4878264943651294,0.25430941581726074,0.4853542447090149
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Ethnicity.pkl,0.627092833442853,121294878.71619733,0.6956962549890211,2.7685850150362414,0.23331409692764282,0.4980338513851166,0.7647481890771429,72596073.46666098,0.7211728611552332,2.4914971058010944,0.2532283663749695,0.48605790734291077
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Gender__Race.pkl,0.6361080863943941,118362502.74861068,0.6909318711152519,2.8119318420636974,0.20948529243469238,0.513512909412384,0.75993368058699,74081776.8526877,0.7128881800496827,2.5655259793264062,0.2252575159072876,0.5042635202407837
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Gender__Ethnicity.pkl,0.6366190121342546,118196314.80370866,0.6917059344745611,2.804889338471785,0.2083280086517334,0.5142646431922913,0.7577136369253022,74766857.45687452,0.7130384071714655,2.5641836048334308,0.2240923047065735,0.5050219297409058
"['CCSR Procedure Code', 'Type of Admission', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Race__Ethnicity.pkl,0.6358460620030515,118447730.97595212,0.6935294514520265,2.788298803977073,0.20894968509674072,0.513860821723938,0.7617682858744408,73515638.21295674,0.7147357040703106,2.549017181906744,0.2271779179573059,0.503013551235199
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race.pkl,0.6257507834810753,121731405.02071384,0.6941058727857893,2.783054466721396,0.23229223489761353,0.4986976385116577,0.7763736246269365,69008594.28873663,0.7259694601569534,2.4486364553637356,0.2606964707374573,0.4811970591545105
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Ethnicity.pkl,0.6253739733501278,121853969.41000754,0.6948851429474868,2.77596459113586,0.23201614618301392,0.49887698888778687,0.7718478347741599,70405202.33760975,0.7247891165530065,2.4591835731416856,0.2587907910346985,0.4824374318122864
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race__Ethnicity.pkl,0.6266786312163315,121429605.56871065,0.6953407262775997,2.771819649768789,0.23091888427734375,0.499589741230011,0.7760158217797869,69119008.23911752,0.7279784917857961,2.430684485159317,0.2625248432159424,0.48000702261924744
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Gender__Race__Ethnicity.pkl,0.6371964919477442,118008478.92867045,0.690489056667259,2.8159606109015907,0.20746588706970215,0.5148246884346008,0.7672737313656507,71816719.40855432,0.7174812898994116,2.524483633360229,0.2322198748588562,0.4997318983078003
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_20/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race__Ethnicity.pkl,0.6235250283876019,122455372.58778237,0.6935499846484523,2.788111990962553,0.22863703966140747,0.5010720491409302,0.7861401096921273,65994766.40565971,0.7332961345273824,2.3831679788563833,0.2718324065208435,0.4739489257335663
