features,model_path,Total Costs_r2,Total Costs_mse,Length of Stay_r2,Length of Stay_mse,APR Risk of Mortality_r2,APR Risk of Mortality_mse,Total Costs_train_r2,Total Costs_train_mse,Length of Stay_train_r2,Length of Stay_train_mse,APR Risk of Mortality_train_r2,APR Risk of Mortality_train_mse
"['CCSR Procedure Code', 'Type of Admission']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission.pkl,0.6173303771573324,124470296.23916128,0.6654485528136893,3.0437815459855453,0.2051061987876892,0.5163574814796448,0.7307697944555358,83081425.4074299,0.6810025975183371,2.8504438568428356,0.21274137496948242,0.512410044670105
"['CCSR Procedure Code', 'Type of Admission', 'Age Group']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group.pkl,0.6159034842585738,124934419.2612363,0.671084050332448,2.9925092424450606,0.2316340208053589,0.499125212430954,0.7370033112161479,81157831.9654332,0.6892840875176545,2.776443497873089,0.24090605974197388,0.49407821893692017
"['CCSR Procedure Code', 'Type of Admission', 'Gender']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Gender.pkl,0.6164335852505033,124761994.2147641,0.665356609058404,3.0446180591973686,0.2054547667503357,0.5161310434341431,0.7332175457032724,82326076.79305913,0.6821351826160098,2.840323491570586,0.2136974334716797,0.5117877721786499
"['CCSR Procedure Code', 'Type of Admission', 'Race']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Race.pkl,0.6183959549981465,124123697.5503844,0.6673822453655422,3.026188623418804,0.20683318376541138,0.5152356624603271,0.734421318336498,81954606.04358436,0.6834114607682382,2.8289191378349754,0.2159540057182312,0.5103189945220947
"['CCSR Procedure Code', 'Type of Admission', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Ethnicity.pkl,0.6185649427977178,124068731.17673498,0.6655864894736905,3.0425265848614558,0.20550233125686646,0.5161001682281494,0.734287737987173,81995827.44296604,0.6824955600093627,2.8371032912835736,0.21508818864822388,0.510882556438446
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender.pkl,0.6137344493336279,125639937.55572633,0.6712265213956627,2.9912130268803176,0.23182719945907593,0.4989997148513794,0.7407085376535043,80014440.59428176,0.6910508939999174,2.7606559627884235,0.24304616451263428,0.4926852583885193
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race.pkl,0.6133521346527784,125764292.40058812,0.6715607706988569,2.9881719942697065,0.23163628578186035,0.499123752117157,0.744983209847069,78695324.6419218,0.6927188407129279,2.7457518023637473,0.2445894479751587,0.491680771112442
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Ethnicity.pkl,0.6130085865177684,125876037.71713413,0.6703749691997019,2.9989605314309884,0.2310774326324463,0.4994867444038391,0.7430925481253181,79278761.66931131,0.6921003717438727,2.751278214365151,0.24379563331604004,0.4921974837779999
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Gender__Race.pkl,0.6195073846221605,123762184.73020719,0.6655136996653507,3.0431888336044337,0.2068207859992981,0.5152437090873718,0.7394190811607673,80412352.42293715,0.6844953037696566,2.819234314067945,0.2175193428993225,0.509300172328949
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Gender__Ethnicity.pkl,0.6188889582933988,123963339.20850427,0.6648082631574782,3.0496069634394276,0.2060791254043579,0.5157254934310913,0.7370374703260363,81147290.84678558,0.6835113492127274,2.828026571310143,0.21715259552001953,0.5095388889312744
"['CCSR Procedure Code', 'Type of Admission', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Race__Ethnicity.pkl,0.6193305781691028,123819694.2639549,0.6668174456703002,3.0313272258789477,0.20672309398651123,0.5153071880340576,0.7399278851454334,80255341.21309334,0.6850946689452124,2.8138786065625627,0.21900802850723267,0.5083311796188354
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race.pkl,0.6139266776215431,125577411.78802986,0.6702976873528772,2.999663649176204,0.23163944482803345,0.49912169575691223,0.7528397411731164,76270887.08668493,0.6953716708155582,2.7220470849884233,0.24754679203033447,0.48975592851638794
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Ethnicity.pkl,0.6127402130298626,125963331.10429727,0.6712801229853549,2.990725354413459,0.23101550340652466,0.4995269775390625,0.7489089461207631,77483886.40551525,0.6951774374972216,2.7237826827228857,0.24676334857940674,0.490265816450119
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Race__Ethnicity.pkl,0.6135738846209209,125692164.16626243,0.6692043529601055,3.0096109116265635,0.23113787174224854,0.4994474947452545,0.7513603644363159,76727406.17509633,0.6941782717036875,2.7327108619995504,0.24820935726165771,0.4893246293067932
"['CCSR Procedure Code', 'Type of Admission', 'Gender', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Gender__Race__Ethnicity.pkl,0.6212307160271642,123201639.6602703,0.6647441123224211,3.050190613964776,0.2067793607711792,0.5152705907821655,0.7444816063408374,78850113.86478338,0.6858552539411641,2.807082297838883,0.2219497561454773,0.5064164996147156
"['CCSR Procedure Code', 'Type of Admission', 'Age Group', 'Gender', 'Race', 'Ethnicity']",../saved_models_filtered_xg_final_split_10/CCSR_Procedure_Code__Type_of_Admission__Age_Group__Gender__Race__Ethnicity.pkl,0.6144121662725597,125419497.72167706,0.6713658902053794,2.989945035919079,0.2310718297958374,0.4994904398918152,0.760047130107605,74046767.60153241,0.6995029759177245,2.685131256967252,0.25254881381988525,0.48650017380714417
